t,x,y,yaw,v,w,cmd_v,cmd_w
1780837946.241474628,3.195013675,-0.483149553,-0.176378502,1.188034452,-0.027084622,1.188034452,-0.027084622
1780837946.261623383,3.218462405,-0.487362130,-0.176920195,1.188034452,-0.027084622,1.188034452,-0.027084622
1780837946.281464815,3.241803073,-0.491579732,-0.177461887,1.188034452,-0.027084622,1.188034452,-0.027084622
1780837946.301357746,3.262289545,-0.495213086,-0.177905489,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.321581602,3.282779928,-0.498922005,-0.178349090,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.341524124,3.303315487,-0.502527858,-0.178792691,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.361649752,3.323694260,-0.506304390,-0.179236293,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.381572723,3.344056823,-0.509967892,-0.179679894,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.401595592,3.364495091,-0.513710061,-0.180123496,1.038932293,-0.022180070,1.038932293,-0.022180070
1780837946.421673775,3.389226338,-0.518271711,-0.185292160,1.259566720,-0.258433203,1.259566720,-0.258433203
1780837946.441794634,3.414046024,-0.522947285,-0.190460824,1.259566720,-0.258433203,1.259566720,-0.258433203
1780837946.461919069,3.438879292,-0.527715319,-0.195629488,1.259566720,-0.258433203,1.259566720,-0.258433203
1780837946.481755733,3.463639248,-0.532636376,-0.200798152,1.259566720,-0.258433203,1.259566720,-0.258433203
1780837946.501619339,3.488415543,-0.537631906,-0.205966816,1.259566720,-0.258433203,1.259566720,-0.258433203
1780837946.521554947,3.510391831,-0.542220549,-0.210327208,1.120843862,-0.218019629,1.120843862,-0.218019629
1780837946.541650057,3.532216112,-0.546893470,-0.214687601,1.120843862,-0.218019629,1.120843862,-0.218019629
1780837946.561678648,3.554152808,-0.551729953,-0.219047994,1.120843862,-0.218019629,1.120843862,-0.218019629
1780837946.581672668,3.575945626,-0.556526424,-0.223408386,1.120843862,-0.218019629,1.120843862,-0.218019629
1780837946.601562977,3.597754083,-0.561444394,-0.227768779,1.120843862,-0.218019629,1.120843862,-0.218019629
1780837946.621500254,3.622441056,-0.567220223,-0.231726837,1.266054498,-0.197902935,1.266054498,-0.197902935
1780837946.641602755,3.646998287,-0.573088790,-0.235684896,1.266054498,-0.197902935,1.266054498,-0.197902935
1780837946.661747456,3.671697451,-0.579059529,-0.239642955,1.266054498,-0.197902935,1.266054498,-0.197902935
1780837946.681558132,3.696234636,-0.584972071,-0.243601014,1.266054498,-0.197902935,1.266054498,-0.197902935
1780837946.701441050,3.720758053,-0.591071654,-0.247559072,1.266054498,-0.197902935,1.266054498,-0.197902935
1780837946.721441984,3.742591458,-0.596524715,-0.250380863,1.122873442,-0.141089521,1.122873442,-0.141089521
1780837946.741507053,3.764348423,-0.602073098,-0.253202653,1.122873442,-0.141089521,1.122873442,-0.141089521
1780837946.761549234,3.786078671,-0.607785625,-0.256024444,1.122873442,-0.141089521,1.122873442,-0.141089521
1780837946.781465054,3.807868500,-0.613446496,-0.258846234,1.122873442,-0.141089521,1.122873442,-0.141089521
1780837946.801507235,3.829527624,-0.619139184,-0.261668024,1.122873442,-0.141089521,1.122873442,-0.141089521
1780837946.821614265,3.854440703,-0.625731101,-0.262011118,1.290647834,-0.017154693,1.290647834,-0.017154693
1780837946.841518641,3.879290880,-0.632386018,-0.262354212,1.290647834,-0.017154693,1.290647834,-0.017154693
1780837946.861652136,3.904274532,-0.638985097,-0.262697306,1.290647834,-0.017154693,1.290647834,-0.017154693
1780837946.881687880,3.929223944,-0.645746646,-0.263040400,1.290647834,-0.017154693,1.290647834,-0.017154693
1780837946.901807785,3.954156615,-0.652517052,-0.263383494,1.290647834,-0.017154693,1.290647834,-0.017154693
1780837946.921669722,3.976220088,-0.658448678,-0.263438261,1.144913481,-0.002738391,1.144913481,-0.002738391
1780837946.941545248,3.998412452,-0.664467002,-0.263493029,1.144913481,-0.002738391,1.144913481,-0.002738391
1780837946.961820602,4.020547304,-0.670434604,-0.263547797,1.144913481,-0.002738391,1.144913481,-0.002738391
1780837946.981731892,4.042683497,-0.676442846,-0.263602565,1.144913481,-0.002738391,1.144913481,-0.002738391
1780837947.001705408,4.064741473,-0.682444320,-0.263657333,1.144913481,-0.002738391,1.144913481,-0.002738391
1780837947.021529675,4.089538884,-0.689040921,-0.264823496,1.283377722,-0.058308141,1.283377722,-0.058308141
1780837947.041821718,4.114321333,-0.695734340,-0.265989658,1.283377722,-0.058308141,1.283377722,-0.058308141
1780837947.061535597,4.139137029,-0.702490994,-0.267155821,1.283377722,-0.058308141,1.283377722,-0.058308141
1780837947.081615210,4.163857732,-0.709190198,-0.268321984,1.283377722,-0.058308141,1.283377722,-0.058308141
1780837947.101488590,4.188659540,-0.715967657,-0.269488147,1.283377722,-0.058308141,1.283377722,-0.058308141
1780837947.121621132,4.210552815,-0.722023653,-0.270660342,1.136577690,-0.058609768,1.136577690,-0.058609768
1780837947.141621590,4.232434518,-0.728184517,-0.271832538,1.136577690,-0.058609768,1.136577690,-0.058609768
1780837947.161696434,4.254239563,-0.734326174,-0.273004733,1.136577690,-0.058609768,1.136577690,-0.058609768
1780837947.181668043,4.276049878,-0.740404731,-0.274176928,1.136577690,-0.058609768,1.136577690,-0.058609768
1780837947.201596737,4.297976525,-0.746541639,-0.275349124,1.136577690,-0.058609768,1.136577690,-0.058609768
1780837947.221697092,4.322287624,-0.753308423,-0.277766150,1.261274827,-0.120851302,1.261274827,-0.120851302
1780837947.241693497,4.346516568,-0.760265680,-0.280183176,1.261274827,-0.120851302,1.261274827,-0.120851302
1780837947.261597395,4.370803064,-0.767237684,-0.282600202,1.261274827,-0.120851302,1.261274827,-0.120851302
1780837947.281599522,4.395116842,-0.774266748,-0.285017228,1.261274827,-0.120851302,1.261274827,-0.120851302
1780837947.301496744,4.419264232,-0.781420603,-0.287434254,1.261274827,-0.120851302,1.261274827,-0.120851302
1780837947.321714640,4.440584159,-0.787691991,-0.289335119,1.115896874,-0.095043265,1.115896874,-0.095043265
1780837947.341519594,4.461981524,-0.794072406,-0.291235984,1.115896874,-0.095043265,1.115896874,-0.095043265
1780837947.361627579,4.483430029,-0.800454991,-0.293136850,1.115896874,-0.095043265,1.115896874,-0.095043265
1780837947.381695509,4.504872448,-0.806982907,-0.295037715,1.115896874,-0.095043265,1.115896874,-0.095043265
1780837947.401479959,4.526161717,-0.813450876,-0.296938580,1.115896874,-0.095043265,1.115896874,-0.095043265
1780837947.421781778,4.550178368,-0.820825944,-0.300507736,1.255157878,-0.178457773,1.255157878,-0.178457773
1780837947.441666126,4.574254606,-0.828263859,-0.304076891,1.255157878,-0.178457773,1.255157878,-0.178457773
1780837947.461561680,4.598233215,-0.835726462,-0.307646047,1.255157878,-0.178457773,1.255157878,-0.178457773
1780837947.481580257,4.622068652,-0.843416735,-0.311215202,1.255157878,-0.178457773,1.255157878,-0.178457773
1780837947.501495600,4.645968845,-0.851025362,-0.314784358,1.255157878,-0.178457773,1.255157878,-0.178457773
1780837947.521743774,4.667038537,-0.857932843,-0.316742978,1.110650152,-0.097931044,1.110650152,-0.097931044
